Vintage,Winery,Label,Variety,Region,Country,Wine Type,Merit,Value,Best,%Alcohol,Qty,Qty/Case,Bottle Size,Price,User Notes 1,User Notes 2,Location,UserField3
2010,Grands Vins Jean Claude Boiset,Cote de Nuit-Villages,Pinot Noir,Burgundy-Cote de Nuits,France,R,,,2018,,3,,750 mL,$35.00,,07 ,Pinot/Burgundy Rack,Row 4/bin 1
2009,Chateau Petit Sicard,Saint Emilion,Merlot/Cabernet Sauvignon,Bordeaux,France,R,,,2018,,2,,750 mL,$49.50,WA: Bright ruby to the rim  infused with refined aromas of crushed red fruits  violets and tobacco. Unusually soft and plump on the attack  silken in texture  featuring a lush core of raspberry and black cherry. , ,French Rack,Row 4/bin 2
2013,Foxen Vineyards,Chardonnay Block UU Bien Nacido Vineyard,Chardonnay,Santa Barbara County,United States,W,,,2020,,1,,750 mL,$32.00,RP: Tasted as a barrel sample  the 2013 Chardonnay Block UU Bien Nacido Vineyard has outstanding potential with its pineapple  citrus  lime peel and seawater-like aromas and flavors flowing nicely to a medium-bodied  focused and racy style on the palate. Barrel-fermented and aged on its lees  it should drink nicely for 4-6 years after release.,  7200 Foxen Canyon Road Santa Maria  CA 93454,Josh's Pinot Rack,
2012,Foxen Vineyards,Grassini Family Vineyards 7200 Cabernet Sauvignon,Cabernet Sauvignon,Santa Barbara County,United States,R,,,2022,,3,,750 mL,$38.00,WE: Amazing aromas of cherry  cedar  cocoa powder and vanilla-clove cigarettes hit the nose on this stellar interpretation of the six-year-old appellation. It’s supple and rich on the palate  with mocha  juicy red berries and plenty of exciting zing.,Foxen Vineyard  Inc. 7200 Foxen Canyon Road Santa Maria  CA 93454,Wine Rack 3,Row 1/nin 2
2013,Foxen Wines,Foxen Pinot Noir - Santa Maria Valley,Pinot Noir,California - Middle & Southern Central Coast,United States,R,,,2020,,1,,750,$35.00,,Foxen Vineyard  Inc. 7200 Foxen Canyon Road Santa Maria  CA 93454,Pinot/Burgundy Rack,Row 1/bin 2
2013,Foxen Vineyards,Pinot Noir Bien Nacido Block Eight ,Pinot Noir,Santa Maria Valley,United States,R,,,2023,,1,,750ml,$62.00,,Foxen Vineyard  Inc. 7200 Foxen Canyon Road Santa Maria  CA 93454,Pinot/Burgundy Rack,Row 1/bin 2
2014,Ernest Muergey-Perron,Vire Clesse White Burgundy,Chardonnay,Burgundy-Maconnais,France,W,,,2022,,3,,750 mL,$45,Brilliant  pale green-gold. Fresh aromas of ripe apple  pear  orange zest  and ripe citrus  lightly touched with new-wood vanilla. Broad  rich  and polished on the attack  filled with a mineral mix of apple  lime  and white peach  finishing — as always chez Bonhomme — with great vibrancy and persistence. Drink now for its juicy youthfulness or lay down for a decade or two. ,  ,Pinot/Burgundy Rack,Row 5/bin 2
2009,Xavier Vignon Wines,Cuvee Anonyme Chateauneuf-du-Papa,GSM,Chateauneuf-du-Pape,France,R,,,2030,,5,,750 mL,$95.00,The 2010 reveals an off-the-chart level of extract  lots of glycerin (nearly 16 per cent natural alcohol) and copious black cherry  blueberry  forest floor  lavender and graphite characteristics. Do not drink before 2018., Had our first @ J. Gilbert on 9-19-2018 to celebrate LCR's 67th.   Xavier Vignon considers the 2010 Châteauneuf-du-Pape Cuvée Anonyme  along with the sensational 2007  to be the two greatest wines he’s ever made. Deep purple to the rim  with explosive aromas of crushed raspberry and dark plum  the attack is terrifically concentrated  packed with red-fruit preserves  though still marvelously high-toned and compact. While the finished wine came in at a whopping 16% alcohol  you’ll never know it. In this one-of-a-kind harvest  even as sugars spiked  acids remained firm  pH a riveting 3.45.  ,Rhone Rack,Row 1/bin 2 & Row 2/bin 2
2013,Carl Roy,Cabernet Sauvignon East Side Cuvee,Cabernet Sauvignon,Napa,United States,R,,,2024,,6,,750 mm,$60.00,Opaque purple in color. Voluptuous aromas of blackberry  mountain blueberry  violets  and graphite  braced with new-wood cedar. MASSIVELY concentrated  dense  and compact  yet still somewhat back on its heels at this stage in its life  slowly peeling away layers of black- and red-fruit preserves  finishing with sturdy  dusty-tannin backbone. Drink now for its primary-fruit hedonism  or do as we’re doing and lay down this N.Y.C. sommelier favorite until the mid-2020s. It could surely use the rest. 4.1 stars,  109 Forrest Avenue Second Floor  Rear Narberth  PA 19072,Wine Rack 3,Row 4/bin 3
2012,Norton,Privada,Malbec/cab/merlot,Mendoza,Argentina,R,,,2020,,2,,750 ML,$44.00,,The Hess Collection Winery 4411 Redwood Road Napa  CA 94558,Wine Rack 3,Row 2/bin 1
2012,Belasco De Baquedano,Old Vine Malbec ,Malbec,Mendoza-Lujan de Cuyo,Argentina,R,,,2024,,5,,750 mL,$37.00,Hand picked from 105-year old vines and aged 18 months in new French oak  then another year in bottle. , ,Wine Rack 3,Row 4/bin 2
2010,Bodegas Ardal,Reserva Tempranillo Ribera del Duero,80% tempranillo/20% cab,Ribera del Duero,Spain,R,,,2026,,7,,750 mL,$50.00,WS: This brawny red shows a thick texture  supported by muscular tannins. A bit chewy but with impressive concentration. The savory character offers tar  smoke  sanguine and mineral flavors  with a core of plum and floral that emerges on the finish. Powerful  but remains balanced. Best from 2018 through 2030. From 60-year-old vines., ,Wine Rack 1,Row 3/bin 1
2010,D'Arenberg,The Dead Arm,Shiraz,McLaren Vale,Australia,R,,,2030,,2,,750ml,$70.00,Tanzer: Don't drink before 2017 and decant. ,  Bright purple. Expansive black and blue fruit scents are complicated by notes of smoky minerals  licorice  cola and mocha  with a peppery nuance adding lift. Smooth and broad on the palate  offering sweet blackcurrant and bitter chocolate flavors and a sexy violet pastille quality. Velvety tannins give shape to the long  spicy finish  which features notes of fruitcake  vanilla and cherry compote. As forward and complex as this Shiraz is right now  it should be even better with another five years of bottle age.   1232 Market Street  Suite 101 San Francisco  CA 94102 The Balvenie Distillery Banffshire 130 Fieldcrest Ave. Raritan Center Edison  NJ 08837,Wine Chest,Row 3/bin 1
2012,Aalto,Ribera del Duero,Tempranillo,Ribera del Duero,Spain,R,,,2020,,1,,750 mL,$37.00,ST: (all tempranillo  was aged for 24 months in a combination of French and American oak): Opaque ruby. Smoky  mineral-accented cherry and dark berries on the deeply perfumed nose. Palate-coating black and blue fruit flavors pick up violet pastille and mocha nuances with air. Fleshy and densely packed but lively too  finishing with noteworthy power and persistence and harmonious tannins., ,Wine Rack 1,Row 3/bin 1
2010,Masciarelli ,Marina Cvetic Montepulciano d'Abruzzo San Martino Rosso,Montepulciano,Abruzzi,Italy,R,,,2024,,4,,750 mL,$50.00,JS: This is a beautifully opulent and silky red with blackberries  blueberries and dark chocolate character. Full body  juicy fruit and a long finish. So much going on here., WS: A fresh  harmonious red  offering a subtle range of flavors  with rich notes of smoky mineral  crushed blackberry  olive tapenade  grilled herb and ground anise. Fine-grained tannins emerge on the finish.  SMART BUY   ,Wine Rack 2,Row 2/bin 1
2012,Domaine Roger Sabon,Chateauneuf-du-Pape Reserve Cuvee,GSM--80/10/10,Chateauneuf-du-Pape,France,R,,,2024,,3,,750 mL,$53.00,WS: Packed with boysenberry  fig and raspberry pâte de fruit notes  framed by black licorice details and carried by a racy graphite structure. The finish features a lingering echo of fruit accompanied by a serious tug of earth. Best from 2015 through 2026. 196 cases imported. -JM , WA: knockout stuff. Full-bodied  textured and yet still elegant and finesse-oriented  it gives up tons of ground pepper  spice  new leather and black cherry nuances...excellent concentration  mouth-filling levels of fruit and a big finish. Drink this beauty over the coming decade. All of these 2013s and 2012s from the team at Roger Sabon are up near the crème de la crème of the vintage. ,Rhone Rack,Row 4/bin 2
2011,Georges Vigouroux S.a.,Chateau de Mercues Malbec,Malbec,Cahors,France,R,,,2024,,1,,750 mL,$33.00,Lots of big tannins...needs some time to let them soften. Do not drink before 2018.,Georges Vigouroux S.a. Route De Toulouse Cahors 46000 France,Wine Rack 3,Row 3/bin 1
2010,Henry's Drive,Shiraz-Cabernet,Shiraz (68%)/Cab (32%),South Australia (Padthaway),Australia,R,,,2024,,1,,750 mL,$40.00,Winery: This vintage of Henry’s Drive Shiraz / Cabernet has lovely lifted aromas of sandalwood  white pepper and nutmeg. The palate is full and juicy with layers of mulberry fruit  chocolate and plum. The two varieties weave together seamlessly on the finish with hints of violet and aniseed. This wine is ideally served at room temperature with pork and fennel sausage or a hearty beef dish.,  PMB 182 Maracoorte 5271 Australia,Wine Rack 2,Row 4/bin 1
2012,Canoe Ridge Vineyard,Reserve Cabernet Sauvignon,Cabernet Sauvignon,Wash. Horse Heavens Hills ,United States,R,,,2019,,2,,750 ML,$30.00 ,Blend: 75% Cabernet Sauvignon  16% Merlot  5% Malbec  4% Cabernet Franc., Antonio Galloni - "Deep red-ruby. Explosive aromas of cassis  black cherry and licorice. Boasts lovely sweetness and penetration to its dark berry  licorice and violet flavors. A very pure  primary wine with superb inner-mouth intensity. Finishes with big  broad tannins and outstanding length. Impressive potential here.  Wine Spectator - "Broad and spicy  with loamy earth and apricot overtones tot he cherry and toast flavors  coming together on the firm  finely wrought finish."  c/o Chalone Wine Group  LTD. 621 Airpark Road Napa  CA 94558-6272,Wine Rack 3,Row 5/bin5
2012,Cuvee Ste. Verge,Chateauneuf-du-Pape,GSM,Southern Rhone Valley,France,R,,,2022,,3,,750 mL,,The 2012 vintage in the Rhone Valley’s CDP region was far superior to the 2011 and 2013 vintages. The 2012 is much more fruit forward and distinctive than the last vintage of this wine that I sampled. Cellier des Princes’ 2012 Saint Vierge won the Gold Medal at France’s G & G International wine competition. The Winery has been producing CDP for over 90 years and this is one of their top cuvees. It is 90 percent Grenache and is from 30-40 year-old vines planted in clay soil. This wine is built for age so it still has a long way to go and should gain nice complexity and style over time. A nice sip of rich and layered fruit  especially the pretty black cherries with dark raspberry  vanilla oak  currants  plum  earth  and a nutmeg spice box with a mounting finish. Pair with Beef Wellington  lamb chops with a savory rosemary sauce  beef stew in red wine sauce  and veal medallions in a port wine reduction. Best enjoyed 2016-2022., ,Rhone Rack,Row 3/bin 2
2013,Chalk Hill,Alpha Crucis Titan Shiraz,Shiraz,McLaren Vale,Australia,R,,,2028,,2,,750 mL,$25.00,By Robert Parker's Wine Advocate , 2013 Chalk Hill Alpha Crucis Titan Shiraz  A Syrah Dry Red Table wine from Australia  McLaren Vale  South Australia  Australia  Review by Lisa Perrotti-Brown  eRobertParker.com # 220 (Aug 2015)  Rating: 92  Drink 2015 - 2028  Deep garnet-purple  the 2013 Alpha Crucis Titan Shiraz has a fragrant nose of crushed black cherries  black raspberries and mulberries with baking spices  potpourri and aniseed hints. Medium to full-bodied  the soft and elegant palate has just enough freshness that illuminates the complex  long finish.  The Winery  Chalk Hill is a family owned wine company dedicated to making small batch  hand crafted wines of distinction. The Harvey family grape growing heritage goes back six generations in South Australia  and we now have six vineyards spread across the beautiful McLaren Vale wine region. Our home vineyard was first planted in 1897 and these century old vines still bear fruit today. It is our family commitment to make wines that reveal the unique place that is McLaren Vale  and to show our efforts from the vineyard to the bottle. To us  wine is more than just a drink  it is a reflection of our place and our life.  ,Wine Rack 2,Row 3/bin 3
2014,Robert Storey Cellars (By Burgess Cellars),Napa Valley Cabernet Sauvignon,Cabernet Sauvignon,Napa,United States,R,,,2023,,8,,750 mL,$50.00,This stunning Cabernet is from a single vineyard (Hillside Crest) on the lower slopes of Napa Valley’s Spring Mountain appellation. The nose is impressively aromatic and sets the table for a wine that has a compelling  rich taste profile. Aromas of dark chocolate covered cherries  and dark raspberry with notes of mocha  and toasty vanilla oak. A big  expressive and luscious palate that deserves cellar time. An expressive and delicious fruit profile of blackberry pie  cherry  toffee  cassis  dark chocolate  coffee  violets and sweet vanilla oak. The wine is complex with a distinguished and pleasing finish. Best enjoyed through 2023. Napa Valley’s Celadon restaurant features the inspired cuisine of Chef Marcos Uribe. Pair this delightful Cabernet with his specialties including crispy soy-braised pork belly  beef satay with spicy peanut sauce  Akaushi hangar steak  jerk marinated pork porterhouse and Moroccan Lamb shank with almond couscous.,  Winemaking Notes  The mature grapes are gently harvested by skilled vineyard workers who also know to avoid under ripe or damaged clusters. Such “field sorting” makes processing the grapes at the winery much easier and quicker. The grapes are first destemmed and then lightly crushed before being transferred to small stainless steel and oak open-top fermentors. Fermentation is allowed to commence naturally  and the wild yeast provide for some interesting flavor and aroma characteristics to develop before a winery yeast strain completes the fermentation. Regular punch downs promote extraction  provide oxygen for the yeast and also moderate temperatures by breaking up any hot spots in the cap. Once it’s dry  the wine is pressed and aged for 14 months in mostly neutral but a few new French oak barrels.  Tasting Notes  Aromas of boysenberries  violets  vanilla and dried herbs open to flavors of licorice  ripe blueberry and plum. Hints of nutmeg and oak round out the palate and gentle tannins invoke a supple mouth feel.  ,Wine Rack 4,Row 1/bin 2
2010,Canoe Ridge Vineyard,Reserve Cherry Street Red Wine Blend,,,,R,,,2020,,4,,750 mL,$37.00,Frontier Canoe Ridge Vineyard 2010 Reserve Cherry Street Red Blend Horse Heaven HillsCanoe Ridge Vineyard is one of Washington State’s most recognized wineries  with an estate vineyard in the Horse Heaven Hills American Viticultural Area  focused on Cabernet Sauvignon  Merlot and Chardonnay. It is located at the center part of the state  along the Columbia River on the southern border of the state. The “Canoe Ridge” name is based on the ridge landmass near the vineyard  where famed explorers Lewis & Clark named this crest of land on their 1805 exploration. From the river  the adventurers thought the ridge resembled an overturned canoe. The winery celebrates 20 years of winemaking in 2014  and has earned more than 30 scores of 90 points or higher from critical wine publications such as Wine Spectator  Wine Enthusiast  Wine & Spirits  and Tasting Panel Magazine. This year  its 2010 Reserve Cabernet Sauvignon was named a “Year’s Best Cabernet” in Wine & Spirits Magazine.WinemakingWinemaker Bill Murray  with more than 20 years of winemaking experience  honors the old world style-winemaking traditions for which Canoe Ridge is beloved. The wines are made with structure and softness  and pair to a variety of cuisines. The winery features several 1 000 to 6 000 gallon fermenters  sized to complement fermentation by vineyard blocks (helping monitor quality as well as control for blending options). Murray enjoys experimentation with yeasts as well as a diverse cooperage of French  American and European oak. Depending on the varietal and program  wines spend a minimum of 18-24 months in oak.VineyardsPlanted in 1989 our estate vineyard in the Horse Heaven Hills AVA is comprised of 182 prolific acres. Perched on a ridge  the vines are planted on their own roots on a sloping ridge at 425-740 feet in elevation. Here  the well-drained sandy loam soils allow deep rooting. Cool nights provide ideal temperatures for excellent sugar to acid balance  and low rainfall (about 6-8” annually) translates to excellent flavor concentration. The vineyard’s latitude and south- and north-facing orientations help vines soak up more than 17 hours of sunshine per day at the peak of summer  resulting in rich  fully mature flavors and the river winds offer well-developed  fine tannins. Horse Heaven Hills AVAEstablished in 2005  the Horse Heaven Hills growing area is home to more 90+ scores of Cabernet Sauvignon than anywhere else in Washington State.-Precipitation: Average of eight inches annually  usually during dormancy; very limited irrigation prevents vine canopy growth and results in well-balanced grape characteristics.-Topography: Mostly south-facing sloped  well-drained sandy soils dotted with dry plains  lending optimal sun exposure for ripening and protective air drainage  ideal in winter months.-Temperature: Warmer growing season fully matures grapes earlier in the harvest season (decreasing the risk of fall frost).-Wind: Brisk wind patterns contribute to less of a leaf canopy and more sun exposure to help with ripening while naturally preventing pests. , Technical DetailsAppellation: Horse Heaven HillsGrape Source: Canoe Ridge VineyardBlend: 54% Syrah  30% Malbec  16% GrenacheVintage: 2010Harvest Date: October 2010Yeast: D254Oak: American & French  30% NewFining: NoneBottled: May 2013TA: 6.2 g/lRS: NoneML: 100%Cases Produced: 504Release Date: August 2013  [Information provided by Precept Wines] ,Wine Rack 3,Row 5/bin 5
2013,Pierre Amadieu,Gigondas,Grenache/Syrah-80-20,Rhone: South,France,R,,,2022,,1,,750 mL,$24.00,, ,French Rack,Row 3/bin 1
2012,L'Ange,Chateauneuf-du-Pape Vielle Vignes ,60% Grenache; 40% Syrah,Southern,France,R,,,2025,,4,,750 mL,$90.00,Do not drink prior to 2018!, RP: The 2012 Châteauneuf du Pape Vieilles Vignes is in the top 2-3 wines in the vintage. Possessing rock-star concentration and depth  full-bodied richness and loads of sweet tannin  it offers layers of ripe blackberry  graphite  licorice and toasted-spice aromas and flavors. One of the more powerful and structured efforts in the vintage  it nevertheless always stays balanced  graceful and light on the palate. Give it 2-3 years and enjoy bottles through 2027.  97 points  eRobertParker.com (Issue # 215 - Oct 2014) Sourced from some of the finest vineyards of Châteauneuf-du-Pape  this gorgeously balanced blend nails an exquisite tension of directness and complexity. Cutting the cépage nearly down the middle with 60% Grenache and 40% Syrah draws upon the two grapes' natural ability to complement and contrast each other in all of the right places. Body  richness  red fruit  and spice from Grenache match Syrah's structure  concentration  black fruit and garrigue for a complete and delicious mouthful. Beautifully built and such a pleasure to drink!   92+ Points - International Wine Report! "...offers aromas and flavors of dark berry fruits  roasted plum  pepper  licorice  garrigue and a dark chocolate character. It’s nicely structured and refined with fine  silky tannins that glide into the finish where dark cherries  mineral and hints of dark chocolate linger.",Rhone Rack,Row 1/bin 1
2012,Dom. Roger Sabon,Chateauneuf-du-Pape Prestige Reserve,GSM-80-10-10,Southern Rhone Valley,France,R,,,2025,,6,,750 mL,$53.00,WA: The 2012 Châteauneuf du Pape Cuvee Reserve is knockout stuff. Full-bodied  textured and yet still elegant and finesse-oriented  it gives up tons of ground pepper  spice  new leather and black cherry nuances. Made from 80% Grenache and 10% each of Syrah and Mourvedre  it has excellent concentration  mouth-filling levels of fruit and a big finish. Drink this beauty over the coming decade.",Encompassing the power  mystique  and finesse which always draw us back to the Southern Rhône  the 2012 Roger Sabon Châteauneuf-du-Pape Réserve is a gorgeous blend of Grenache  Syrah  and Mourvèdre. While enchanting now  this wine has the structure to mature well into the next decade. It's a textbook bottle for both the novice and connoisseur!    94 Points - Wine Spectator! "This is packed with boysenberry  fig and raspberry pâte de fruit notes  framed by black licorice details and carried by a racy graphite structure. The finish features a lingering echo of fruit accompanied by a serious tug of earth.",Rhone Rack,Row 2/bin 2
2013,Dry Mill Vineyards,Petit Verdot,Petite Verdot,Loudon county,United States,R,,,2020,,2,,750 mL,$28.00,Won silver at the 2016 Virginia Governor's Cup, ,Wine Rack 3,Row 4/bin 1
2013,The Barns at Hamilton Station Winery,Petite Verdot,Petite Verdot,Loudon county,United States,R,,,2018,,1,,750 mL,$28.00,, ,Wine Rack 3,Row 4/bin 1
2014,Chateau de Nages,Vieilles Vignes Rouge,GSM,Costières de Nîmes  Languedoc  South of France,France,R,,,2020,,2,,750 mL,$16.00,- Appearance : Dense ruby  black color.- Nose : Very lavish  with a complex array of red berries  pepper & spice  & aromatic herbs (garrigue & menthol).- Taste : Rich & balanced with a fine tannic grain  it reveals spices  liquorice & minerality in a long elegant finish., ,French Rack,Row 1/bin 2
2013,Chateau de Nages,ButiNages Red Blend,SGM 55-25-20,Costières de Nîmes  Languedoc  South of France,France,R,,,2018,,1,,750 mL,$18.00,A fun crowd pleasing bottle. It had a nice garnet appearance. It was rich with red raspberry  plum and blueberry. Crushed dried violets intermixed with soft baking spices in this fruit forward elegant wine. Intense fruit attacked the palate with pepper that yields some ripe tannin leading to a soft finish. , ,Pinot/Burgundy Rack,Row 2/bin 1
2013,Pierre Amadieu,Dom. Grand Romane Gigondas,GSM,Gigondas,France,R,,,2023,,3,,750 mL,20.00,(Inviting in feel  with polished edges around the core of blackberry and plum compote notes  underscored by dark anise and sweet spice accents on the finish. Silky in feel  though there's good buried grip here. Exhibits freshness and purity. Drink now through 2022. J.Molesworth. - Aug. 2015), ,French Rack,Row 3/bin 1
2010,D'Arenberg,d'Arry's Original McLaren Vale Shiraz-Grenache,Shiraz-Grenache,McLaren Vale,Australia,R,,,2020,,1,,750 ml,24.99, ST: A terrific value  this 50-50 blend displays gentle oaking and a hint of warm asphalt  just enough to highlight the wine’s plum and black cherry fruit. It’s full bodied and features a long finish  outlined by wonderfully fine  dusty tannins.,Old Bridge Cellars 1232 Market Street  Suite 101 San Francisco  CA 94102,Wine Rack 2,Row 4/bin 2
2012,Baptiste Olivier,Lirac Les Galets,Mourvedre-Gren; 90-10,Lirac,France,R,,,2020,,2,,750 mL,$45.00,WTSO: Like its esteemed neighbor to the east  Chateauneuf-du-Pape  Baptiste Olivier's 2012 Lirac utilized grapes from vineyards scattered with galetes roules  large granite stones capable of absorbing heat during the day and retaining it through the night. Blended from 45-year-old vines of Mourvedre and Grenache  the wine displays a rich tapestry of dark fruit aromas  complemented by notes of garrigue  licorice  peppery spice and minerality. Full-bodied and ripe on the palate  this is a bottle to drink with hearty dishes  like roasted lamb  grilled steaks or cassoulet.  , IWR: The 2012 Lirac "Les Galets" opens from aromas of blackberries and plum along with spices  freshly crushed stones and black olives. This wine possesses a gorgeous plush texture with soft  round tannins and a carressing finish that shows wonderful length.,Pinot/Burgundy Rack,Row 1/bin 2
2014,Barrique Cellars,Napa Cabernet Sauvignon,Cabernet Sauvignon,Napa,United States,R,,,2030,,5,,750 mL,$120.00,,Under Schneider's label  but the wine came from Chateau Montelena. Outstanding. ,Andrew's Rack,Row 3 / 1-6
2013,Domaine du Pegau,2013 Cuvee Reservee Chateauneuf-du-Pape,GSM,Chateauneuf-du-Pape,France,R,,,2025,,4,,750 mL,$70.00,RP: The 2013 Châteauneuf du Pape Cuvée Reservée is a final blend of 80% Grenache  10% Syrah  6% Mourvèdre and the rest other permitted grapes. Completely destemmed and seeing upwards of 18-24 months in old foudre  it sports an excellent deep ruby color to go with lots of lavender  peppery herbs  black cherries and leather. Medium-bodied  nicely concentrated and forward with ripe tannin  it makes the most of this difficult vintage  but I suspect it is best consumed in its first 10-12 years of life. (JD) (10/2015) ,  Vinous: Inky ruby. Highly complex  exotic aromas of black raspberry  cherry-cola  blueberry  potpourri  minerals and woodsmoke. Suave  lush and seamless  offering concentrated  palate-staining flavors of black and blue fruits and lavender pastille are braced by tangy acidity. Finishes with supple tannins  an echo of candied flowers and outstanding persistence. (4/2015)  Wine Spectator: Steeped plum and blackberry paste flavors form the core  lined with smoldering charcoal and tobacco leaf notes. Reveals a light tarry edge on the finish  which pulls together nicely. A solid effort in this Grenache-hampered vintage. Drink now through 2025. (2/2016),Rhone Rack,Row 4/bin 1
2011,Les Ivrettes,Trivium Cabernet Sauvignon "Les Ivrettes",Cabernet Sauvignon,St. Helena/Napa,United States,R,,,2025,,5,,750 mL,$85.00,2011 Trivium delights the eye  then the nose: vanilla bean  sun-ripe plums and blackberries  scents of clove and roasted nuts and thyme  even a hint of your grandfather’s pipe tobacco. The first taste is of layers of racy fruit and sweet oak supported by perfect acidity and graceful tannins. Darker  richer flavors follow and fill the mouth. The wine is supple and balanced  and its textured finish carries on and on. Fully harmonious after 15 months in bottle  this Trivium demands a hanger steak or savory roast. , ,Wine Rack 3,Row 5/bin 2
2010,Chateau La Fleur Peyrabon,Pauillac,,Bordeaux,France,R,,,2025,,1,,750 mL,$40.00,ST: A structured wine from this small 17-acre Pauillac cru bourgeois  this shows weight  intense blackcurrant fruitiness and density from the high proportion of Cabernet Sauvignon in the blend. Dark and brooding  it's likely to age for many years." Concentrated  black fruit  currants  full-bodied. , ,Wine Chest,Row 2/bin 5
2013,Alain Jaume et Fils,Domaine Grand Veneur,GSM 70-20-10,Côtes du Rhône,France,R,,,2020,,1,,750 mL,$24.99,Winemaker notes: Intense  brilliant garnet-red color  reveals lovely fruit  loads of body and a heady bouquet of ground peppers  raspberries cherry liqueur  currants  and spice box. Full-bodied and dense  it tastes more like a "baby Chateauneuf" than a Cotes du Rhone. A complete wine  rich and elegant  thanks to the harmony of all the elements which make it up. Blend: 70% Grenache  20% Syrah and 10% Mourvedre, ,Atop Wine chest,
2012,I Balzini,Black Label Super Tuscan,cab-merlot 50-50,Tuscany,Italy,R,,,2021,,2,,750 mL,$70.00,JS: Bright and vivid red with blueberries  hints of lavender and sandalwood. Full body  fine and firm tannins and a long and flavorful finish. Racy and fresh. A blend of cabernet sauvignon and merlot. , WA: With Cabernet Sauvignon and Merlot  the 2012 D'Isanto & D'Isanto Black Label is more contained compared to the 2010 vintage. This expression shows a greater degree of elegance and overall balance with dark fruit tones  spice  tobacco and crushed clove. This is one of I Balzini's best Black Labels produced so far. The tannins show a clear sense of crunchiness that bode well for the wine's medium-term aging potential.  ,Wine Rack 1,Row 4/bin 3
2014,Cellier des Princes,Reserve Chateauneuf-du-Pape,GSM--90-5-5,Chateauneuf-du-Pape,France,R,,,2023,,3,,750 mL,$80.00,Cellier Des Princes has been producing Chateauneuf since 1925. This is their exceptional Reserve from their top barrels and their most select 60-year-old vines. It is 90% Grenache with equal parts Syrah and Mourvedre. 2014 was a very small vintage  and this is nicely concentrated and yet supple with a sensational mid-palate. It has just the right amount of oak which is nicely integrated with a rich taste profile. Over time it should gain a lot of complexity. It’s a small production wine with only several hundred cases produced each vintage. It’s quintessential CDP with raspberries  cinnamon  crushed rocks  licorice  dried pepper  savory herbs  and blueberries with vanilla spice. Pair with ribeye steaks with garlic on the grill  elk chops  veal roasts  Irish stew and spicy lamb dishes., ,Rhone Rack,Row 4/bin 2
2009,Senorio de los Baldios ,Ribera del Duero Crianza,Tempranillo,Ribera del Duero,Spain,R,,,2018,,3,,750 mL,$35.00,WA: The 2009 Senorio de Los Baldios is aged in used French and American oak over 14 months. Once again  the nose deftly assimilates the oak  allowing the floral  dark plum  cassis and mineral notes to blossom in the glass. The palate has a keen citric thread that marries well with the plush cassis  blueberry and small dark cherry fruit  while the finish is focused and refined.,  Ctra. De Soria S/N Aranda De Duero (Burgos) 09400 Spain,Wine Rack 1,Row 1/bin 1
2014,Charles & Charles Wines,Red blend,Cab-Syrah 75-25,Washington State,United States,R,,,2020,,1,,750 mL,$14.00,Charles & Charles Red Blend is bold  rich and textured but not over the top – it remains wonderfully restrained and focused. Aromas of black cherry  blackberry  and earthy  savory notes of tobacco and herbs  vanilla  and cocoa. A full mouthfeel with a long and supple finish. It's an intense dark blue / purple in color with tremendous purity  depth  and focus. Tannins are elegant  and refined., ,Wine rack 4,Row 3/bin 3
2014,Samuel Robert Winery,Vintner's Reserve Pinot Noir,Pinot Noir,Willamette Valley,United States,R,,,2022,,2,,750 mL,$45.00,The flavors include wild Cherry  cranberry  strawberry  and red plum with touches of blueberry and vanilla spice. Less than 1 000 cases produced from the magnificent 2014 vintage., ,Josh's Pinot Rack,
2014,Dominio IV,Violet Hour Pinot Noir,Pinot Noir,Willamette Valley,United States,R,,,2022,,3,,750 mL,$45.00,Dominio IV is a micro-production boutique winery founded by Patrick Reuter. His pride and joy from the Dundee Hills is nicknamed “the Violet Hour” because it has a pleasing essence of violets on the palate. It’s from his Bella Vida Vineyard in the Dundee Hills appellation of Oregon’s Willamette Valley - home to exceptional Pinot Noir. I tasted this wine side by side with the very nice 2012 vintage  and the 2014 is the more special wine. Savory and hedonistically fruit-forward with black raspberry front and center  violets  blueberries  nutmeg spice and dark chocolate. This classy Pinot Noir is nicely focused with a rousing finish that completes the sumptuous taste profile. It’s one of those Pinots that tastes great now  but will hold up for many years and gain even more complexity., ,Pinot/Burgundy Rack,Row 1/bin 2
2014,Tar & Roses,Heathcote Shiraz,Shiraz,Victoria,Australia,R,,,2029,,2,,750 mL,$30.00,Tar and Roses has that quintessential Aussie taste profile  as this wine is rich with very generous fruit. This winery from Heathcote  Victoria has been getting a lot of well-deserved praise and has achieved a cult-like status. Winemakers Don Lewis and Narelle King are quite proud of this wine  and point to its sweet fruit  essence of dark chocolate and good acidity. This Shiraz has a dark purple hue. A delicious and polished wine that offers incredible bang for the buck with its mouthwatering  sumptuous taste profile of ripe fruit. The hallmarks of the wine are the intensity  sweet rich oak  generous jammy fruit and persistence. It’s nicely stamped with plum  black cherries  licorice  blueberry jam  dark chocolate  black pepper  shortcrust pastry and roses. The finish is very long with good defined length. , ,Wine Rack 2,Row 5/bin 2
